date,Avg_Passengers,Avg_Distance,Avg_Fare,Avg_Extra,Avg_MTA_tax,Avg_Tip,Avg_Tolls,Avg_Surcharge,Avg_Total,Avg_Duration,Total_Trips,maximum temperature,minimum temperature,average temperature,precipitation,Rain,Snow_fall,Snow_depth
2016-01-01,1.4146733232038202,3.7106346863468636,14.21572780551335,0.3363794226177556,0.49411764705882355,3.2306833080095507,0.1353518558714999,0.2964705882352941,18.708730627306274,0.3691987434580228,23034.999999999996,42,34,38,0,0,0,0
2016-01-02,1.3858497447118892,3.312718958648937,13.12117769174662,0.22813218874488023,0.4943051113729451,2.8893485945127084,0.13203837737754587,0.29646524154182796,17.16146720529653,0.32689787540443993,17823,40,32,36,0,0,0,0
2016-01-03,1.3742844057705519,3.3378658117700937,13.166264025646898,0.23514426379665673,0.4939317609342798,2.943467483398214,0.1385556446072819,0.2964277536065949,17.273790931989925,0.3345051745413836,17468,45,35,40,0,0,0,0
2016-01-04,1.3584928519505695,3.013565543978677,12.896186697358857,0.4283074872788951,0.49318512236491396,2.902558759389387,0.15725648170583958,0.29605645747516357,17.173551005573056,0.2961917117626471,16508,36,14,25,0,0,0,0
2016-01-05,1.3321301740699774,3.0416848110845898,12.961315130698026,0.4182045758863597,0.4946440006986086,2.889258892705362,0.15426791639983697,0.296926122140071,17.214616638528266,0.31670738649227326,17177,29,11,20,0,0,0,0
2016-01-06,1.3494551599557136,3.115729269856069,12.99212516753103,0.4171376959384651,0.49565876114445545,2.882650777926694,0.16283608181341414,0.2973777751879261,17.247786259541986,0.3013329804660438,17161,41,25,33,0,0,0,0
2016-01-07,1.3594348119792838,3.1646656158522855,13.203731141634767,0.41235082188696237,0.4943424904300833,2.9557346318396758,0.16581682053591534,0.2966561585228552,17.52863206485026,0.2977404988866371,17764,46,31,38.5,0,0,0,0
2016-01-08,1.3637473585348674,3.132243719182907,13.13609297957267,0.43003052359708854,0.4955623385771308,2.955649683024184,0.15296078891758627,0.2971965250058699,17.46749283869453,0.3281396911116329,21295,46,31,38.5,0,0,0,0
2016-01-09,1.381754219534369,3.2952650302383493,13.240922566109333,0.252164117158781,0.4959879837147713,2.9379932013123047,0.12414640894897032,0.2974149175856753,17.348629194829837,0.33538550052483407,25299,47,40,43.5,0.01,0.01,0,0
2016-01-10,1.3765614654601632,3.362353564334584,13.185219598322666,0.24113970425954537,0.4954976826307658,2.9342087839329065,0.11221496358419775,0.2971661884793644,17.265446921209445,0.32336729689300864,22655,59,40,49.5,1.8,1.8,0,0
2016-01-11,1.3492719860221316,3.1470442632498545,13.047029702970297,0.4099592312172394,0.494729178800233,2.9333989516598717,0.15869772859638906,0.2968200349446709,17.3406348281887,0.3039490228434608,17170,40,26,33,0,0,0,0
2016-01-12,1.3384039181791991,3.066647651973495,13.197579371938923,0.41403053874963985,0.4947853644482858,2.944243157591472,0.1646931719965428,0.2969922212618842,17.512323825986748,0.3266544223566695,17355,44,25,34.5,0.01,0,0.01,0
2016-01-13,1.352119827367352,3.01412185833968,12.846112211221122,0.41782178217821786,0.49545569941609546,2.930765168824575,0.14046204620462047,0.2971972581873572,17.12781416603199,0.32426007728978024,19695,30,22,26,0,0,0,0
2016-01-14,1.3462733710326558,3.195325284018544,13.381026542360793,0.40501299098272964,0.49521116715064445,2.9793463752610934,0.16454633450506903,0.29703499923582455,17.722178409496152,0.313472922716389,19629,38,22,30,0.01,0,0.01,0
2016-01-15,1.350360763135762,3.2997954937807092,13.748149262980833,0.4329378956221504,0.4952193351334602,3.071080961444823,0.17639856580054003,0.29713160108007614,18.220917622061883,0.3403455407512333,22591,51,34,42.5,0.01,0.01,0,0
2016-01-16,1.3808103311558357,3.327710606804365,13.290656647660764,0.2590340973454669,0.4951478306838349,2.9456115243741268,0.13409319185892837,0.29700940225805234,17.421552694181173,0.3240941463496499,26483.000000000004,52,42,47,0.24,0.24,0,0
2016-01-17,1.3888149705995965,3.308594360272973,13.043008283617322,0.25234988626121296,0.4953431477745826,2.9254641830121466,0.11189664792480364,0.2970771277737242,17.125139276363793,0.31662036043511643,23299,42,30,36,0.45,0.05,0.4,0
2016-01-18,1.3466611216730038,3.1472076996197718,12.545859672053233,0.17279586501901142,0.49536596958174905,2.791069391634981,0.15951045627376426,0.2972017585551331,16.46180311311787,0.31105219555344316,16832,31,18,24.5,0.02,0.01,0.01,0.01
2016-01-19,1.3443131383348483,2.9969424094968184,12.8324421153949,0.40981765680979626,0.4951072135179937,2.8665477781936795,0.13777231164108872,0.2969199508047698,17.038607026362225,0.37226985782103156,18701,28,16,22,0,0,0,0.01
2016-01-20,1.3350036923726132,3.0648987234940392,13.116971199493618,0.4106213735626121,0.4957537714948834,2.9787234940394556,0.1541291275450997,0.297404789534761,17.45360375567043,0.32004624257129793,18958,37,27,32,0,0,0,0.01
2016-01-21,1.3590031327441905,3.054373684948801,13.137895918081078,0.42913919670828077,0.4951839902744658,2.911742647402628,0.15714780006546034,0.29722261186702204,17.428332164398935,0.33617590904131794,21387,36,26,31,0,0,0,0
2016-01-22,1.3443129388164494,3.05678555667001,13.056292477432297,0.4441925777331996,0.49550651955867603,2.873109327983952,0.14451073219658978,0.2973159478435306,17.310927582748246,0.3346036554106765,24925,30,21,25.5,0.21000000000000002,0.01,0.2,0
2016-01-23,1.420132743362832,3.011387168141593,12.432606194690266,0.4393805309734513,0.4926991150442478,3.1109092920353985,0.06166371681415929,0.29535398230088494,16.832612831858405,0.38272861356932153,4519.999999999999,27,24,25.5,29.61,2.31,27.3,6
2016-01-24,1.3745815786632114,3.144363459669582,13.054938991469603,0.15068567109383438,0.4949789439585358,2.991766547888997,0.09647554259799158,0.29708454810495627,17.085930245113918,0.3265619263578447,9261,35,20,27.5,0.02,0.01,0.01,22
2016-01-25,1.3427570093457943,3.189067757009346,14.39196203271028,0.42280957943925235,0.4940128504672897,3.222845210280374,0.17494334112149532,0.29656542056074764,19.00313843457944,0.38041914914330216,17120,39,28,33.5,0,0,0,19
2016-01-26,1.3397363465160075,3.0729626042507396,13.894842076943771,0.42289480764057036,0.49588377723970944,3.0973688458434223,0.15802690341673392,0.2975469464622007,18.366563357546408,0.3568391922996443,18585,48,38,43,0,0,0,17
2016-01-27,1.3449770525242224,3.0319739928607854,13.450511983681794,0.4250892401835798,0.49592044875063745,3.035554818969913,0.15389750127485977,0.29742376338602755,17.858397756246813,0.349612286815117,19610,47,34,40.5,0.01,0.01,0,9
2016-01-28,1.3468374153966012,3.107396406485855,13.512550031650193,0.42413692360130495,0.49573939718556753,2.9992277353070067,0.16647027316550617,0.297237181672104,17.895361542581682,0.34968079293199805,20537,42,32,37,0,0,0,6
2016-01-29,1.3538642923933812,3.0833593527665974,13.23253852095784,0.44657885107939993,0.4960157742814164,2.9125962515753954,0.14438590071959995,0.2973488636825629,17.529464162296215,0.32124774701521863,24597,41,30,35.5,0,0,0,6
2016-01-30,1.391470335339639,3.2209977644024077,13.3551456577816,0.25030094582975065,0.49664660361134993,2.91549475494411,0.12580705073086845,0.2977864144453998,17.44118142734308,0.347687532244196,29074.999999999996,39,28,33.5,0,0,0,6
2016-01-31,1.389979804924161,3.378656812615477,13.398921067331242,0.24562798092209856,0.4963906672968676,2.926351136510119,0.1281798650797061,0.29757787994671936,17.49304859708675,0.338712838434619,23273,56,36,46,0,0,0,4
2016-02-01,1.3415891449902233,3.1998216507673165,13.373419446584109,0.3990341885406174,0.49632636132013985,2.9239799727439713,0.16977543402263437,0.2972856550334775,17.659821058244948,0.31713508851625816,16877,59,44,51.5,0.01,0.01,0,2
2016-02-02,1.345841327163977,3.095171538201106,13.053438663807697,0.4238799232592258,0.49571154497235076,2.8667272316894254,0.1613689199864575,0.29734567204604445,17.298471391490803,0.3320918287376644,17722,50,38,44,0,0,0,0.01
